tvMax,PSNR,dx,dy,match,q
0.274,26.594,2, 0, 0.987176,26.32
0.278,26.051,2, 1, 0.991708,25.773
0.278,26.09,2, 1, 0.991699,25.812
0.282,24.921,2, 0, 0.996132,24.639
0.282,25.285,2, 0, 0.993715,25.003
0.284,24.189,2, 0, 0.989787,23.905
0.284,24.616,2, 0, 0.991553,24.332
0.287,16.784,-15, 11, 0.937437,16.497
0.287,16.889,-15, 11, 0.961707,16.602
0.288,25.505,1, 0, 0.957854,25.217
0.288,25.755,2, 0, 0.997658,25.467
0.288,26.238,2, 0, 0.989347,25.95
0.288,26.239,2, 0, 0.99368,25.951
0.29,25.126,2, 0, 0.996677,24.836
0.29,25.421,2, 0, 0.996359,25.131
0.293,24.909,2, 0, 0.996878,24.616
0.293,24.963,2, 0, 0.995046,24.67
0.298,25.343,2, 0, 0.996314,25.045
0.298,25.402,2, 0, 0.99405,25.104
0.3,24.938,2, 0, 0.997016,24.638
0.3,25.234,2, 0, 0.994503,24.934
0.313,24.79,2, 0, 0.994245,24.477
0.313,25.322,2, 0, 0.991513,25.009
0.314,23.826,3, 0, 0.993751,23.512
0.314,23.836,3, 0, 0.993916,23.522
0.319,25.997,2, 0, 0.982952,25.678
0.319,26.405,2, 0, 0.991134,26.086
0.321,25.75,2, 0, 0.995593,25.429
0.321,26.058,2, 0, 0.988094,25.737
0.322,24.514,2, 0, 0.994849,24.192
0.322,24.733,2, 0, 0.994657,24.411
0.324,24.495,2, 0, 0.992415,24.171
0.324,24.593,2, 0, 0.993199,24.269
0.333,24.735,2, 0, 0.989155,24.402
0.333,24.798,2, 0, 0.986497,24.465
0.333,24.936,2, 0, 0.987334,24.603
0.333,25.086,2, 0, 0.987718,24.753
0.333,25.139,2, 0, 0.989808,24.806
0.333,25.246,2, 0, 0.987521,24.913
0.333,25.387,2, 0, 0.988334,25.054
0.333,25.38,2, 0, 0.9878,25.047
0.333,25.462,2, 0, 0.98786,25.129
0.333,25.477,2, 0, 0.988471,25.144
0.333,25.484,2, 0, 0.989867,25.151
0.333,25.499,2, 1, 0.991065,25.166
0.333,25.507,2, 0, 0.994985,25.174
0.333,25.721,2, 0, 0.991272,25.388
0.333,25.756,2, 0, 0.987911,25.423
0.333,25.912,2, 0, 0.993533,25.579
0.334,25.853,2, 0, 0.998352,25.519
0.334,25.984,2, 0, 0.997473,25.65
0.336,25.549,2, 0, 0.987252,25.213
0.336,25.834,2, 0, 0.987574,25.498
