FEEDRATE,PSNR,DX,DY,MATCH
3900,35.78605840341517,0,0,0.984697
3900,35.983647457203524,0,0,0.986395
3960,30.357117564502808,-1,1,0.966831
3960,30.91418244264791,-1,1,0.973256
3960,31.380457779949964,-1,1,0.990923
3960,31.67032790194691,-1,1,0.979665
3960,31.858345749576454,-1,1,0.980278
3960,31.995046611036052,-1,0,0.98363
3960,32.18147304846467,-1,0,0.983252
3960,32.33599447241624,-1,0,0.986998
3960,32.46285400546177,-1,1,0.991834
3960,33.85062562570154,-1,0,0.985941
3960,34.70852127927127,-1,0,0.985293
3960,35.370420949532935,-1,0,0.991643
4020,33.2633139222126,-1,0,0.98384
4020,33.319642328631296,-1,0,0.984174
4020,33.50391776177267,-1,1,0.992166
4020,33.853610528680534,-1,0,0.98737
4020,33.922305920898125,-1,0,0.983217
4020,34.803953236817506,-1,0,0.989926
4080,29.429370055526654,-2,1,0.987607
4080,29.668809595515953,-2,1,0.98877
4080,30.6519261462655,-1,1,0.982451
4080,30.81014187963774,-1,1,0.985087
4080,30.955135906466403,-1,1,0.987305
4080,31.13297593489085,-1,1,0.979981
4080,33.01832732000427,-1,0,0.97725
4080,33.526788653666905,-1,1,0.986963
4080,34.336983118806835,0,0,0.977554
4080,35.32695983028577,0,0,0.984912
4080,35.67509605938933,0,0,0.985761
4080,36.53772962345987,0,0,0.989299
4140,32.95768287083619,-1,0,0.982168
4140,33.04371658557999,-1,0,0.980522
4140,33.86669890832274,-1,0,0.983398
4140,34.22873660614112,-1,0,0.982875
4140,34.92279057894924,-1,0,0.983428
4140,36.08427563472366,-1,0,0.989406
4200,20.084773817128166,18,9,0.956886
4200,20.108524511485864,18,10,0.951708
4200,20.122643335274276,17,10,0.95179
4200,20.133201115449744,17,10,0.947871
4200,30.466518972826545,-1,1,0.974285
4200,30.510390014622555,-1,1,0.966849
4200,30.884525719756667,-1,0,0.967768
4200,30.942267461536236,-1,0,0.972918
4200,31.086308867049045,-1,1,0.987565
4200,31.46610683440553,-1,1,0.989607
4200,31.62052808911715,-1,0,0.973364
4200,31.64570141693411,-1,1,0.983134
4200,31.65068412883192,-1,1,0.993837
4200,31.761106491258676,-1,0,0.97977
4200,32.077845422355026,-1,0,0.980802
4200,32.17295922135675,-1,0,0.9735
4200,32.44653453834571,-1,0,0.983883
4200,32.69771547467582,-1,0,0.973424
4200,32.69940915046313,-1,0,0.986831
4200,32.887300887893176,-1,0,0.983084
4200,32.889289364422666,-1,0,0.972448
4200,33.168732647136984,-1,0,0.985557
4200,34.2302223063349,-1,0,0.988909
4200,34.75408206033542,-1,0,0.987252
4260,28.29690545988983,-2,1,0.984174
4260,28.64588794330708,-2,1,0.97015
4260,29.19672647329441,-1,1,0.975336
4260,29.308502430530368,-2,1,0.983182
4260,29.320223205542177,-2,1,0.983906
